Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1710025200.0 1360.0 91 197 285 0 NA NA NA NA 156 221 321 0 NA NA NA NA 2722 389 833 1041 NA NA NA NA 6859 1526 1594 1387 NA NA NA NA
1710025200.0 1361.0 70 194 284 0 NA NA NA NA 156 218 314 0 NA NA NA NA 2572 421 797 1068 NA NA NA NA 9109 2366 1597 1511 NA NA NA NA
1710025200.0 1362.0 86 180 267 0 NA NA NA NA 156 214 311 0 NA NA NA NA 2449 382 773 1096 NA NA NA NA 9133 1254 1782 1431 NA NA NA NA
1710025200.0 1363.0 88 182 269 0 NA NA NA NA 156 217 314 0 NA NA NA NA 3389 420 860 1085 NA NA NA NA 10432 1039 1694 1323 NA NA NA NA
1710025200.0 139901.0 NA 190 281 0 NA NA NA NA NA 220 312 0 NA NA NA NA NA 410 905 1187 NA NA NA NA NA 495 1031 1217 NA NA NA NA
1710025200.0 139902.0 NA 192 281 0 NA NA NA NA NA 225 318 0 NA NA NA NA NA 460 982 1170 NA NA NA NA NA 534 1128 1210 NA NA NA NA
1710025200.0 13992501.0 NA 227 345 0 NA NA NA NA NA 278 406 0 NA NA NA NA NA 2196 3090 1097 NA NA NA NA NA 6933 8168 1416 NA NA NA NA
1710025200.0 13992502.0 NA 235 351 0 NA NA NA NA NA 278 406 0 NA NA NA NA NA 2225 2802 1106 NA NA NA NA NA 7371 7870 1530 NA NA NA NA
1710025200.0 14.0 NA 105 227 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1357 1171 394 NA NA NA NA NA 1516 1206 409 NA NA NA NA
1710025200.0 140.52 NA 223 215 0 NA NA NA NA NA 251 236 0 NA NA NA NA NA 1197 887 175 NA NA NA NA NA 1317 942 211 NA NA NA NA
1710025200.0 140.53 NA 253 0 NA NA NA NA NA NA 303 0 NA NA NA NA NA NA 2480 175 NA NA NA NA NA NA 2549 195 NA NA NA NA NA
1710025200.0 145.0 NA 264 319 0 NA NA NA NA NA 303 359 0 NA NA NA NA NA 2227 1920 157 NA NA NA NA NA 2342 2070 173 NA NA NA NA
1710025200.0 15.0 NA 103 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1158 563 322 NA NA NA NA NA 1185 596 336 NA NA NA NA
1710025200.0 16.0 NA 106 226 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1206 733 329 NA NA NA NA NA 1251 766 343 NA NA NA NA
1710025200.0 17.0 NA 102 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1154 612 324 NA NA NA NA NA 1184 647 338 NA NA NA NA
1710025200.0 18.0 NA 102 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1143 510 318 NA NA NA NA NA 1170 548 329 NA NA NA NA
1710025200.0 19.0 NA 102 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1160 534 312 NA NA NA NA NA 1186 578 327 NA NA NA NA
1710025200.0 2.0 79 101 160 NA NA NA NA NA 99 146 186 NA NA NA NA NA 3749 264 554 NA NA NA NA NA 3820 293 573 NA NA NA NA NA
1710025200.0 20.0 NA 106 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1196 727 349 NA NA NA NA NA 1241 761 366 NA NA NA NA
1710025200.0 200.0 NA 109 241 0 NA NA NA NA NA 147 272 0 NA NA NA NA NA 454 725 355 NA NA NA NA NA 538 876 373 NA NA NA NA
1710025200.0 202.0 NA 108 238 0 NA NA NA NA NA 147 269 0 NA NA NA NA NA 434 733 363 NA NA NA NA NA 510 868 389 NA NA NA NA
1710025200.0 203.0 NA 111 245 0 NA NA NA NA NA 147 276 0 NA NA NA NA NA 450 728 355 NA NA NA NA NA 516 857 370 NA NA NA NA
1710025200.0 204.0 77 114 242 0 NA NA NA NA 97 151 273 0 NA NA NA NA 2456 494 793 360 NA NA NA NA 2501 719 926 376 NA NA NA NA
1710025200.0 205.0 NA 109 238 0 NA NA NA NA NA 147 268 0 NA NA NA NA NA 417 588 355 NA NA NA NA NA 525 777 377 NA NA NA NA
1710025200.0 21.0 NA 105 227 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1221 874 344 NA NA NA NA NA 1252 926 409 NA NA NA NA
1710025200.0 22.0 NA 107 227 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1272 1125 344 NA NA NA NA NA 1305 1165 363 NA NA NA NA
1710025200.0 23.0 NA 105 228 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1399 1102 390 NA NA NA NA NA 1551 1140 408 NA NA NA NA
1710025200.0 24.0 NA 106 231 0 NA NA NA NA NA 156 258 0 NA NA NA NA NA 1502 1594 419 NA NA NA NA NA 1535 1654 437 NA NA NA NA
1710025200.0 25.0 NA 107 240 0 105 NA NA NA NA 146 273 0 124 NA NA NA NA 1620 1883 399 83 NA NA NA NA 1664 1950 419 89 NA NA NA
1710025200.0 250199.0 167 NA NA NA NA NA NA NA 205 NA NA NA NA NA NA NA 3867 NA NA NA NA NA NA NA 4494 NA NA NA NA NA NA NA
1710025200.0 250202.0 NA 257 323 0 NA NA NA NA NA 344 368 0 NA NA NA NA NA 11904 2796 1118 NA NA NA NA NA 16423 3778 1376 NA NA NA NA
1710025200.0 250400.0 265 0 134 NA NA NA NA NA 312 0 157 NA NA NA NA NA 840 213 373 NA NA NA NA NA 977 233 431 NA NA NA NA NA
1710025200.0 250402.0 267 0 135 NA NA NA NA NA 313 0 158 NA NA NA NA NA 946 213 444 NA NA NA NA NA 1095 227 518 NA NA NA NA NA
1710025200.0 250403.0 267 0 135 NA NA NA NA NA 312 0 157 NA NA NA NA NA 803 203 350 NA NA NA NA NA 1324 214 429 NA NA NA NA NA
1710025200.0 250405.0 264 0 134 NA NA NA NA NA 310 0 156 NA NA NA NA NA 749 211 334 NA NA NA NA NA 871 232 408 NA NA NA NA NA
1710025200.0 250406.0 266 0 134 NA NA NA NA NA 312 0 154 NA NA NA NA NA 631 210 301 NA NA NA NA NA 755 238 369 NA NA NA NA NA
1710025200.0 250407.0 251 0 134 NA NA NA NA NA 293 0 157 NA NA NA NA NA 597 180 328 NA NA NA NA NA 740 192 410 NA NA NA NA NA
