Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 250408.0 456 0 195 NA NA NA NA 590 0 279 NA NA NA NA 920 359 567 NA NA NA NA 1280 704 596 NA NA NA NA
1710108000.0 250408.17 487 0 201 NA NA NA NA 688 0 275 NA NA NA NA 1096 358 596 NA NA NA NA 1049 418 749 NA NA NA NA
1710108000.0 250408.18 527 0 189 NA NA NA NA 699 0 288 NA NA NA NA 1046 383 590 NA NA NA NA 988 489 709 NA NA NA NA
1710108000.0 250409.0 443 0 201 NA NA NA NA 614 0 265 NA NA NA NA 1087 416 681 NA NA NA NA 1303 564 727 NA NA NA NA
1710108000.0 250409.17 537 0 205 NA NA NA NA 692 0 281 NA NA NA NA 1206 441 693 NA NA NA NA 1367 498 741 NA NA NA NA
1710108000.0 250409.18 499 0 205 NA NA NA NA 706 0 282 NA NA NA NA 1259 457 688 NA NA NA NA 1513 688 775 NA NA NA NA
1710108000.0 25202.0 NA 429 641 0 162 NA NA NA 593 875 0 239 NA NA NA 1502 2717 567 373 NA NA NA 1029 2483 719 660 NA NA
1710108000.0 25203.0 NA 433 640 0 160 NA NA NA 593 855 0 238 NA NA NA 1586 2708 512 380 NA NA NA 1120 2322 651 645 NA NA
1710108000.0 25210.0 142 365 594 0 NA NA NA 229 505 740 0 NA NA NA 2137 618 1723 536 NA NA NA 2716 836 2094 691 NA NA NA
1710108000.0 25406.0 497 0 186 NA NA NA NA 676 0 279 NA NA NA NA 1320 433 553 NA NA NA NA 1315 508 703 NA NA NA NA
1710108000.0 25406.17 651 0 202 NA NA NA NA 801 0 281 NA NA NA NA 2228 517 549 NA NA NA NA 1650 926 672 NA NA NA NA
1710108000.0 25407.0 457 0 180 NA NA NA NA 641 0 268 NA NA NA NA 1978 280 555 NA NA NA NA 1405 420 663 NA NA NA NA
1710108000.0 25409.0 548 0 197 NA NA NA NA 747 0 275 NA NA NA NA 2450 368 585 NA NA NA NA 1610 461 673 NA NA NA NA
1710108000.0 26834.0 177 606 572 0 208 NA NA 258 763 733 0 293 NA NA 3862 1495 2242 724 549 NA NA 1833 1097 2244 990 661 NA NA
1710108000.0 4.28 NA 127 324 0 NA NA NA NA 189 483 0 NA NA NA NA 209 2679 1351 NA NA NA NA 562 3029 1545 NA NA NA
1710108000.0 4.43 NA 99 439 0 NA NA NA NA 165 679 0 NA NA NA NA 141 2904 313 NA NA NA NA 243 2192 518 NA NA NA
1710108000.0 4.6 NA 365 0 NA NA NA NA NA 489 0 NA NA NA NA NA 2416 446 NA NA NA NA NA 2312 541 NA NA NA NA
1710108000.0 4001.0 NA 251 435 NA NA NA NA NA 345 580 NA NA NA NA NA 562 1889 NA NA NA NA NA 557 1908 NA NA NA NA
1710108000.0 4007.0 84 0 0 NA NA NA NA 197 0 0 NA NA NA NA 547 124 1167 NA NA NA NA 964 448 1585 NA NA NA NA
1710108000.0 4008.0 133 181 356 NA NA NA NA 221 258 503 NA NA NA NA 725 243 1290 NA NA NA NA 762 832 1713 NA NA NA NA
1710108000.0 5.1 364 0 NA NA NA NA NA 522 0 NA NA NA NA NA 835 377 NA NA NA NA NA 778 578 NA NA NA NA NA
